#INFO,Version=0.0.2,Template= eBay-draft-listings-template_US,,,,,,,,
#INFO Action and Category ID are required fields. 1) Set Action to Draft 2) Please find the category ID for your listings here: https://pages.ebay.com/sellerinformation/news/categorychanges.html,,,,,,,,,,
"#INFO After you've successfully uploaded your draft from the Seller Hub Reports tab, complete your drafts to active listings here: https://www.ebay.com/sh/lst/drafts",,,,,,,,,,
#INFO,,,,,,,,,,
Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),Custom label (SKU),Category ID,Title,UPC,Price,Quantity,Item photo URL,Condition ID,Description,Format
Draft,JR.-1998-321-RAW,215,1998 Topps Chrome Ken Griffey Jr. #321 Seattle Mariners,,255.71,1,,3000,<p><b>1998 Topps Chrome Ken Griffey Jr. #321</b></p><p>Seattle Mariners | Baseball</p><p><b>Market Data:</b> Avg Market Value: $284.12 | Recent Sales Range: $5.50 - $4150.00 | Based on 5 market sources</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
Draft,GIOLITO-2022-92RJ-11-RAW,215,2022 Bowman Bowman Lucas Giolito #92RJ-11 Cleveland Guardians,,11.77,1,,3000,<p><b>2022 Bowman Bowman Lucas Giolito #92RJ-11</b></p><p>Cleveland Guardians | Baseball</p><p><b>Market Data:</b> Avg Market Value: $13.08 | Recent Sales Range: $1.99 - $32.00 | Based on 3 market sources</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
Draft,JR.-1996-CA10-RAW,215,1996 Upper Deck A Cut Above Ken Griffey Jr. #CA10 Seattle Mariners,,7.64,1,,3000,<p><b>1996 Upper Deck A Cut Above Ken Griffey Jr. #CA10</b></p><p>Seattle Mariners | Baseball</p><p><b>Market Data:</b> Avg Market Value: $8.49 | Recent Sales Range: $1.25 - $35.00 | Based on 4 market sources</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
Draft,RAMIREZ-2019-127-RAW,215,2019 Topps Chrome Jose Ramirez #127 Cleveland Indians,,7.57,1,,3000,<p><b>2019 Topps Chrome Jose Ramirez #127</b></p><p>Cleveland Indians | Baseball</p><p><b>Market Data:</b> Avg Market Value: $8.41 | Recent Sales Range: $0.99 - $130.00 | Based on 3 market sources</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
Draft,CANARIO-2024-BRES-AC-RAW,215,2024 Topps Inception Alexander Canario #BRES-AC RC Chicago Cubs,,7.04,1,,3000,<p><b>2024 Topps Inception Alexander Canario #BRES-AC</b></p><p><b>Serial Numbered:</b> 030/299</p><p>Rookie Card | Autograph</p><p>Chicago Cubs | Baseball</p><p><b>Market Data:</b> Avg Market Value: $7.82 | Recent Sales Range: $1.75 - $20.00 | Based on 4 market sources</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
Draft,WINN-2023-35-RAW,215,2023 Topps Chrome Masyn Winn Prism Refractor #35 RC St. Louis Cardinals,,8.78,1,,3000,<p><b>2023 Topps Chrome Masyn Winn #35</b></p><p>Prism Refractor | Rookie Card</p><p>St. Louis Cardinals | Baseball</p><p><b>Market Data:</b> Avg Market Value: $9.75 | Recent Sales Range: $1.00 - $42.00 | Based on 3 market sources</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
Draft,PEREIRA-2024-12-RAW,215,2024 Topps Inception Everson Pereira Green #12 New York Yankees,,4.33,1,,3000,<p><b>2024 Topps Inception Everson Pereira #12</b></p><p>Green</p><p>New York Yankees | Baseball</p><p><b>Market Data:</b> Avg Market Value: $4.81 | Recent Sales Range: $0.99 - $19.99 | Based on 4 market sources</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
Draft,WICKS-2024-79-RAW,215,2024 Topps Inception Jordan Wicks #79 RC Chicago Cubs,,4.77,1,,3000,<p><b>2024 Topps Inception Jordan Wicks #79</b></p><p>Rookie Card</p><p>Chicago Cubs | Baseball</p><p><b>Market Data:</b> Avg Market Value: $5.30 | Recent Sales Range: $0.99 - $29.99 | Based on 4 market sources</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
Draft,DELUCA-2024-BRES-JD-RAW,215,2024 Topps Inception Jonny DeLuca #BRES-JD RC Tampa Bay Rays,,5.02,1,,3000,<p><b>2024 Topps Inception Jonny DeLuca #BRES-JD</b></p><p><b>Serial Numbered:</b> 158/299</p><p>Rookie Card | Autograph</p><p>Tampa Bay Rays | Baseball</p><p><b>Market Data:</b> Avg Market Value: $5.58 | Recent Sales Range: $2.25 - $20.00 | Based on 4 market sources</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
Draft,CANZONE-2024-BRES-DCA-RAW,215,2024 Topps Inception Dominic Canzone #BRES-DCA RC Seattle Mariners,,18.43,1,,3000,<p><b>2024 Topps Inception Dominic Canzone #BRES-DCA</b></p><p><b>Serial Numbered:</b> 016/219</p><p>Rookie Card | Autograph</p><p>Seattle Mariners | Baseball</p><p><b>Market Data:</b> Avg Market Value: $20.48 | Recent Sales Range: $7.50 - $55.00 | Based on 3 market sources</p><p>Card shipped in protective sleeve and toploader with tracking.</p>,FixedPrice
