#INFO,Version=0.0.2,Template= eBay-draft-listings-template_US,,,,,,,,
#INFO Action and Category ID are required fields. 1) Set Action to Draft 2) Please find the category ID for your listings here: https://pages.ebay.com/sellerinformation/news/categorychanges.html,,,,,,,,,,
"#INFO After you've successfully uploaded your draft from the Seller Hub Reports tab, complete your drafts to active listings here: https://www.ebay.com/sh/lst/drafts",,,,,,,,,,
#INFO,,,,,,,,,,
Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),Custom label (SKU),Category ID,Title,UPC,Price,Quantity,Item photo URL,Condition ID,Description,Format
Draft,RICE-2023-350-CGC10,215,2023 Panini Prizm Rashee Rice Red White Blue #350 CGC 10 Pristine RC Chiefs,,34.99,1,,2750,"<p><b>2023 Panini Prizm Rashee Rice #350</b></p><p><b>Grade:</b> CGC 10 PRISTINE</p><p>Red White & Blue Prizm Parallel | Rookie Card</p><p>Kansas City Chiefs WR | 2023 2nd Round Pick</p><p>Key contributor to Chiefs offense</p><p>Card ships in CGC protective case with tracking.</p>",FixedPrice
Draft,MCCONKEY-2024-CB7-CGC10,215,2024 Topps Resurgence Circuit Breakers Ladd McConkey Aqua Surge /249 #CB-7 CGC 10 RC,,44.99,1,,2750,"<p><b>2024 Topps Resurgence Ladd McConkey #CB-7</b></p><p><b>Grade:</b> CGC 10 PRISTINE<br><b>Serial Numbered:</b> /249</p><p>Circuit Breakers Insert | Aqua Surge Refractor | Rookie Card</p><p>Los Angeles Chargers WR | Georgia Bulldogs</p><p>2024 2nd Round Pick - Explosive playmaker</p><p>Card ships in CGC protective case with tracking.</p>",FixedPrice
Draft,EGBUKA-2023-115-CGC9,215,2023 Bowman University Chrome Emeka Egbuka #115 CGC 9 MINT 1st Bowman Ohio State,,19.99,1,,2750,"<p><b>2023 Bowman University Chrome Emeka Egbuka #115</b></p><p><b>Grade:</b> CGC 9 MINT</p><p>1st Bowman Chrome | Base</p><p>Ohio State Buckeyes WR | 2025 NFL Draft Prospect</p><p>Elite college receiver - projected high draft pick</p><p>Card ships in CGC protective case with tracking.</p>",FixedPrice
Draft,WILLIAMS-2024-184-CGC8,215,2024 Topps Chrome Doug Williams Magenta Speckle Refractor /399 #184 CGC 8 NM-MT,,19.99,1,,2750,"<p><b>2024 Topps Chrome Doug Williams #184</b></p><p><b>Grade:</b> CGC 8 NM-MT<br><b>Serial Numbered:</b> /399</p><p>Magenta Speckle Refractor Parallel</p><p>Super Bowl XXII MVP | First Black QB to Win Super Bowl</p><p>NFL Legend and Pioneer</p><p>Card ships in CGC protective case with tracking.</p>",FixedPrice
Draft,PENIX-2024-279-CGC8,215,2024 Donruss Optic Michael Penix Jr Rated Rookie #279 CGC 8 NM-MT Falcons RC,,14.99,1,,2750,"<p><b>2024 Donruss Optic Michael Penix Jr. #279</b></p><p><b>Grade:</b> CGC 8 NM-MT</p><p>Rated Rookie | Base | Rookie Card</p><p>Atlanta Falcons QB | 2024 1st Round Pick (#8 Overall)</p><p>Heisman Finalist from Washington</p><p>Card ships in CGC protective case with tracking.</p>",FixedPrice
Draft,RICHARDSON-2023-282-CGC10,215,2023 Panini Mosaic Anthony Richardson #282 CGC 10 Pristine RC Colts,,19.99,1,,2750,"<p><b>2023 Panini Mosaic Anthony Richardson #282</b></p><p><b>Grade:</b> CGC 10 PRISTINE</p><p>Base | Rookie Card</p><p>Indianapolis Colts Franchise QB | 2023 1st Round Pick (#4 Overall)</p><p>Elite athleticism - dual-threat playmaker</p><p>Card ships in CGC protective case with tracking.</p>",FixedPrice
Draft,NIX-2024-6-CGC10,215,2024 Donruss Optic Light it Up Bo Nix #6 CGC 10 Pristine RC Broncos Insert,,34.99,1,,2750,"<p><b>2024 Donruss Optic Bo Nix #6</b></p><p><b>Grade:</b> CGC 10 PRISTINE</p><p>Light it Up Insert | SP | Rookie Card</p><p>Denver Broncos QB | 2024 1st Round Pick from Oregon</p><p>Strong rookie season - franchise QB potential</p><p>Card ships in CGC protective case with tracking.</p>",FixedPrice
Draft,GAROPPOLO-2014-150-BGS95,215,2014 Topps Chrome Jimmy Garoppolo Rookie Auto Camo Refractor #150 BGS 9.5/10 Patriots,,299.99,1,,2750,"<p><b>2014 Topps Chrome Jimmy Garoppolo #150</b></p><p><b>Grade:</b> BGS 9.5 GEM MINT<br><b>Auto Grade:</b> 10 PRISTINE</p><p>Rookie Autograph | Camo Refractor - RARE!</p><p>On-Card Autograph | 2x Super Bowl Champion (as Brady backup)</p><p>Key Patriots/49ers collectible</p><p>Card ships in BGS protective case with tracking.</p>",FixedPrice
Draft,MCCARTHY-2024-400-SGC9,215,2024 Panini Prizm JJ McCarthy Lazer Prizm #400 SGC 9 MINT RC Vikings,,59.99,1,,2750,"<p><b>2024 Panini Prizm JJ McCarthy #400</b></p><p><b>Grade:</b> SGC 9 MINT</p><p>Lazer Prizm Parallel (Orange) | Rookie Card</p><p>Minnesota Vikings QB | 2024 1st Round Pick (#10 Overall)</p><p>National Champion at Michigan</p><p>Card ships in SGC protective case with tracking.</p>",FixedPrice
Draft,MOORE-2021-CR30-PSA10,215,2021 Panini Chronicles Crown Royale Elijah Moore #CR30 PSA 10 GEM MINT RC Jets,,24.99,1,,2750,"<p><b>2021 Chronicles Crown Royale Elijah Moore #CR30</b></p><p><b>Grade:</b> PSA 10 GEM MINT</p><p>Crown Royale Insert | Rookie Card</p><p>New York Jets/Browns WR | 2021 2nd Round Pick</p><p>Premium Chronicles insert design</p><p>Card ships in PSA protective case with tracking.</p>",FixedPrice
Draft,RICHARDSON-2023-SAR-PSA9,215,2023 Spectra Anthony Richardson Spectracular #SAR PSA 9 MINT RC Colts,,49.99,1,,2750,"<p><b>2023 Spectra Anthony Richardson #SAR</b></p><p><b>Grade:</b> PSA 9 MINT</p><p>Spectracular Insert | Premium Hobby Product | Rookie Card</p><p>Indianapolis Colts Franchise QB</p><p>Ultra-premium Spectra insert with unique dual-image design</p><p>Card ships in PSA protective case with tracking.</p>",FixedPrice
Draft,MCCAFFREY-2017-249-PSA9,215,2017 Panini Prizm Christian McCaffrey Silver Prizm #249 PSA 9 MINT RC 49ers,,79.99,1,,2750,"<p><b>2017 Panini Prizm Christian McCaffrey #249</b></p><p><b>Grade:</b> PSA 9 MINT</p><p>Silver Prizm | Flagship Rookie Card</p><p>San Francisco 49ers RB | 3x All-Pro</p><p>2023 NFL Offensive Player of the Year | Elite dual-threat</p><p>Card ships in PSA protective case with tracking.</p>",FixedPrice
Draft,MAYE-2024-CAEDM-PSA9,215,2024 Topps Chrome Drake Maye All-Etch Yellow Refractor /75 #CAE-DM PSA 9 MINT RC,,119.99,1,,2750,"<p><b>2024 Topps Chrome All-Etch Drake Maye #CAE-DM</b></p><p><b>Grade:</b> PSA 9 MINT<br><b>Serial Numbered:</b> 65/75</p><p>Yellow Refractor - RARE! | Rookie Card</p><p>New England Patriots Franchise QB | 2024 1st Round Pick (#3 Overall)</p><p>UNC Standout - Future of Patriots</p><p>Card ships in PSA protective case with tracking.</p>",FixedPrice
Draft,MAHOMES-2018-232-PSA10,215,2018 Panini Select Patrick Mahomes II Silver Prizm #232 PSA 10 GEM MINT Chiefs MVP,,224.99,1,,2750,"<p><b>2018 Panini Select Patrick Mahomes II #232</b></p><p><b>Grade:</b> PSA 10 GEM MINT</p><p>Silver Prizm | 2nd Year Card (MVP Season)</p><p>Kansas City Chiefs QB | 3x Super Bowl Champion | 2x NFL MVP</p><p>Greatest QB of his generation</p><p>Card ships in PSA protective case with tracking.</p>",FixedPrice
Draft,THRASH-2024-241-PSA10,215,2024 Donruss Optic Jamari Thrash Orange Scope #241 PSA 10 GEM MINT RC Browns,,24.99,1,,2750,"<p><b>2024 Donruss Optic Jamari Thrash #241</b></p><p><b>Grade:</b> PSA 10 GEM MINT</p><p>Rated Rookie | Orange Scope Parallel | Rookie Card</p><p>Cleveland Browns WR | 2024 5th Round Pick</p><p>Louisville standout with elite speed</p><p>Card ships in PSA protective case with tracking.</p>",FixedPrice
